Date,Steps
5/16/14,3520
5/15/14,12009
5/14/14,7810
5/13/14,8074
5/12/14,6410
5/11/14,5011
5/10/14,18938
5/9/14,9981
5/8/14,7224
5/7/14,10397
5/6/14,7581
5/5/14,11420
5/4/14,4172
5/3/14,9338
5/2/14,11237
5/1/14,11047
4/30/14,7934
4/29/14,8363
4/28/14,8945
4/27/14,10502
4/26/14,4105
4/25/14,6920
4/24/14,7135
4/23/14,6734
4/22/14,8043
4/21/14,6632
4/20/14,7570
4/19/14,7525
4/18/14,9551
4/17/14,8050
4/16/14,9764
4/15/14,4288
4/14/14,4446
4/13/14,8212
4/12/14,4168
4/11/14,6758
4/10/14,8762
4/9/14,10283
4/8/14,8269
4/7/14,6961
4/6/14,15923
4/5/14,6763
4/4/14,6658
4/3/14,7051
4/2/14,10520
4/1/14,9729
3/31/14,11300
3/30/14,1704
3/29/14,5047
3/28/14,6613
3/27/14,8228
3/26/14,6441
3/25/14,7035
3/24/14,5988
3/23/14,7261
3/22/14,9300
3/21/14,3405
3/20/14,8341
3/19/14,12026
3/18/14,1339
3/17/14,5709
3/16/14,4507
3/15/14,2102
3/14/14,11604
3/13/14,9177
3/12/14,9084
3/11/14,9153
3/10/14,9907
3/9/14,378
3/8/14,10564
3/7/14,104
3/6/14,11282
3/5/14,9242
3/4/14,9900
3/3/14,6688
3/2/14,233
3/1/14,4323
2/28/14,5339
2/27/14,3718
2/26/14,9697
2/25/14,8643
2/24/14,7006
2/23/14,5393
2/22/14,3526
2/21/14,2716
2/20/14,4143
2/19/14,9804
2/18/14,9076
2/17/14,4585
2/16/14,2391
2/15/14,1418
2/14/14,7026
2/13/14,2414
2/12/14,3127
2/11/14,9729
2/10/14,14454
2/9/14,4764
2/8/14,4655
2/7/14,10617
2/6/14,7987
2/5/14,10033
2/4/14,7245
2/3/14,8667
2/2/14,2409
2/1/14,2929
1/31/14,8819
1/30/14,184
1/29/14,8116
1/28/14,8442
1/27/14,9201
1/26/14,3146
1/25/14,1975
1/24/14,7241
1/23/14,7455
1/22/14,1944
1/21/14,2565
1/20/14,6301
1/19/14,5607
1/18/14,5265
1/17/14,8272
1/16/14,9475
1/15/14,10151
1/14/14,8312
1/13/14,9442
1/12/14,4019
1/11/14,6706
1/10/14,1326
1/9/14,5954
1/8/14,5816
1/7/14,9480
1/6/14,7460
1/5/14,4100
1/4/14,6669
1/3/14,8757
1/2/14,6453
1/1/14,4976
12/31/13,3102
12/30/13,3411
12/29/13,6353
12/28/13,6799
12/27/13,1835
12/26/13,4017
12/25/13,3180
12/24/13,4848
12/23/13,10028
12/22/13,3275
12/21/13,6524
12/20/13,11611
12/19/13,9696
12/18/13,12671
12/17/13,5099
12/16/13,6291
12/15/13,2179
12/14/13,4913
12/13/13,9994
12/12/13,9218
12/11/13,11337
12/10/13,6385
12/9/13,11114
12/8/13,3438
12/7/13,3969
12/6/13,8156
12/5/13,7269
12/4/13,10747
12/3/13,9698
12/2/13,10447
12/1/13,3748
11/30/13,4052
11/29/13,8967
11/28/13,2463
11/27/13,9155
11/26/13,5217
11/25/13,7551
11/24/13,3733
11/23/13,4911
11/22/13,8097
11/21/13,5166
11/20/13,7666
11/19/13,8424
11/18/13,1730
11/17/13,5326
11/16/13,6738
11/15/13,3144
11/14/13,9429
11/13/13,11782
11/12/13,8371
11/11/13,4627
11/10/13,6368
11/9/13,5308
11/8/13,2312
11/7/13,6037
11/6/13,7646
11/5/13,8612
11/4/13,7907
11/3/13,5636
11/2/13,6633
11/1/13,7816
10/31/13,13493
10/30/13,11461
10/29/13,5199
10/28/13,9503
10/27/13,6351
10/26/13,5405
10/25/13,7863
10/24/13,8077
10/23/13,10208
10/22/13,8472
10/21/13,7806
10/20/13,6940
10/19/13,9978
10/18/13,5193
10/17/13,0
10/16/13,0
10/15/13,0
10/14/13,0
